         387017431 function calls (319617259 primitive calls) in 154.557 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.003    0.000    0.003    0.000 <frozen codecs>:263(__init__)
    15000    0.003    0.000    0.003    0.000 <frozen codecs>:206(reset)
     5036    0.003    0.000    0.003    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.003    0.003 __init__.py:1(<module>)
     5000    0.002    0.000    0.002    0.000 game.py:119(getMoveHistory)
     5000    0.002    0.000    0.002    0.000 game.py:171(setRecordStats)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        7    0.000    0.000    0.001    0.000 __init__.py:287(compile)
        7    0.000    0.000    0.001    0.000 __init__.py:330(_compile)
     5000    0.001    0.000    0.001    0.000 game.py:165(setRecordGames)
        7    0.000    0.000    0.001    0.000 _compiler.py:743(compile)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
        1    0.000    0.000    0.001    0.001 randomPlayer.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     5000    0.001    0.000    0.001    0.000 game.py:96(getBoard)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     5000    0.001    0.000    0.001    0.000 game.py:89(getId)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       12    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     5000    0.001    0.000    0.001    0.000 game.py:159(setIgnoreMirrorMatch)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        7    0.000    0.000    0.001    0.000 _parser.py:970(parse)
     14/7    0.000    0.000    0.001    0.000 _parser.py:451(_parse_sub)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
     16/7    0.000    0.000    0.001    0.000 _parser.py:511(_parse)
        7    0.000    0.000    0.000    0.000 _compiler.py:576(_code)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
     27/7    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       12    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       15    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
